SN,title,DOI,domain,year,authors,author_regions,abstract,keywords,cited_by_count,is_oa,oa_status,oa_url,openalex_countries,openalex_authors,umap_x,umap_y,umap_x_mpnet,umap_y_mpnet,umap_x_minilm,umap_y_minilm,umap_x_specter,umap_y_specter,umap_x3,umap_y3,umap_z3,umap_x3_mpnet,umap_y3_mpnet,umap_z3_mpnet,umap_x3_minilm,umap_y3_minilm,umap_z3_minilm,umap_x3_specter,umap_y3_specter,umap_z3_specter,cluster,cluster_label
472,Structural Interventions and the Dynamics of Inequality,https://doi.org/10.1145/3630106.3658952,General Fairness & Bias Mitigation,2024,Aurora Zhang; Anette Hosoi,USA; USA,"Recent conversations in the algorithmic fairness literature have raised several concerns with standard conceptions of fairness. First, constraining predictive algorithms to satisfy fairness benchmarks may sometimes lead to non-optimal outcomes for disadvantaged groups. Second, technical interventions are often ineffective by themselves, especially when divorced from an understanding of structural processes that generate social inequality. Inspired by both these critiques, we construct a common decision-making model, using mortgage loans as a running example. We show that under some conditions, any choice of decision threshold will inevitably perpetuate existing disparities in financial stability unless one deviates from the Pareto optimal policy. This confirms the intuition that technical interventions, such as fairness constraints, often do not sufficiently address persistent underlying inequities. Then, we model the effects of three different types of interventions: (1) policy changes in the algorithm’s decision threshold, and external changes to parameters that govern the downstream effects of late payment for (2) the whole population or (3) disadvantaged subgroups. We show how different interventions are recommended depending on the difficulty of enacting structural change upon external parameters and depending on the policymaker’s preferences for equity or efficiency. Counterintuitively, we demonstrate that preferences for efficiency over equity may sometimes lead to recommendations for interventions that target the under-resourced group alone. Finally, we simulate the effects of interventions on a dataset that combines HMDA and Fannie Mae loan data. This research highlights the ways that structural inequality can be perpetuated by seemingly unbiased decision mechanisms, and it shows that in many situations, technical solutions must be paired with external, context-aware interventions to enact social change.",Psychological intervention; Disadvantaged; Equity (law); Pareto principle; Actuarial science; Inequality; Economics; Intuition; Public economics; Economic inequality; Payment; Computer science; Microeconomics; Psychology; Political science; Finance; Operations management; Mathematics,5,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3658952,USA; USA,Aurora Zhang; Anette Hosoi,7.23357,4.64728,7.23357,4.64728,7.95842,9.51491,7.20439,8.96948,2.07757,3.88657,1.85163,2.07757,3.88657,1.85163,5.14445,9.11007,-0.72418,6.94471,7.70299,4.87662,4,Psychology · Mathematics
473,Should Users Trust Advanced AI Assistants? Justified Trust As a Function of Competence and Alignment,https://doi.org/10.1145/3630106.3658964,General Fairness & Bias Mitigation,2024,Arianna Manzini; Geoff Keeling; Nahema Marchal; Kevin R. McKee; Verena Rieser; Iason Gabriel,UK; UK; UK; UK; UK; UK,"As AI assistants become increasingly sophisticated and deeply integrated into our lives, questions of trust rise to the forefront. In this paper, we build on philosophical studies of trust to investigate when user trust in AI assistants is justified. By moving beyond a focus on the technical artefact in isolation, we consider the broader societal system in which AI assistants are developed and deployed. We conceptualise user trust in AI assistants as encompassing two main targets, namely AI assistants and their developers. We argue that – as AI assistants become more human like and exhibit increased agency – discerning when user trust is justified requires consideration not only of competence, on the part of AI assistants and their developers, but also alignment between the competing interests, values or incentives of AI assistants, developers and users. To help users understand if and when their trust in the competence and alignment of AI assistants and developers is justified, we propose a sociotechnical approach that requires evidence to be collected at three levels: AI assistant design, organisational practices and third-party governance. Taken together, these measures can help harness the transformative potential of AI assistants while also ensuring their operation is ethical and value aligned.",Competence (human resources); Computer science; Social trust; Function (biology); Knowledge management; Psychology; Social psychology; Sociology,21,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3658964,United Kingdom; United Kingdom; United Kingdom; United Kingdom; United Kingdom; United Kingdom,Arianna Manzini; Geoff Keeling; Nahema Marchal; Kevin R. McKee; Verena Rieser; Iason Gabriel,4.22882,4.18055,4.22882,4.18055,4.72409,9.3567,6.58602,6.54689,3.87845,5.80136,2.85209,3.87845,5.80136,2.85209,7.28092,8.23112,0.70416,5.40072,6.16919,3.32085,4,Psychology · Mathematics
474,Algorithmic Misjudgement in Google Search Results: Evidence from Auditing the US Online Electoral Information Environment,https://doi.org/10.1145/3630106.3658916,General Fairness & Bias Mitigation,2024,Brooke Perreault; J. Lee; Ropafadzo Shava; Eni Mustafaraj,USA; USA; USA; USA,"Google Search is an important way that people seek information about politics [8], and Google states that it is “committed to providing timely and authoritative information on Google Search to help voters understand, navigate, and participate in democratic processes.”1 This paper studies the extent to which government-maintained web domains are represented in the online electoral information environment, as captured through 3.45 Google Search result pages collected during the 2022 US midterm elections for 786 locations across the United States. Focusing on state, county, and local government domains that provide locality-specific information, we study not only the extent to which these sources appear in organic search results, but also the extent to which these sources are correctly targeted to their respective constituents. We label misalignment between the geographic area that non-federal domains serve and the locations for which they appear in search results as algorithmic mistargeting, a subtype of algorithmic misjudgement in which the search algorithm targets locality-specific information to users in different (incorrect) locations. In the context of the 2022 US midterm elections, we find that 71% of all occurrences of state, county, and local government sources were mistargeted, with some domains appearing disproportionately often among organic results despite providing locality-specific information that may not be relevant to all voters. However, we also find that mistargeting often occurs in low ranks. We conclude by considering the potential consequences of extensive mistargeting of non-federal government sources and argue that ensuring the correct targeting of these sources to their respective constituents is a critical part of Google’s role in facilitating access to authoritative and locally-relevant electoral information.",Locality; Government (linguistics); Context (archaeology); State (computer science); Computer science; Democracy; Politics; Audit; World Wide Web; Data science; Internet privacy; Information retrieval; Political science; Business; Geography; Algorithm,8,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3658916,USA; USA; USA; USA,Brooke Perreault; J. Lee; Ropafadzo Shava; Eni Mustafaraj,4.54055,8.52135,4.54055,8.52135,8.67066,5.7591,8.27591,3.59353,2.13933,3.44361,5.97159,2.13933,3.44361,5.97159,3.39491,6.21583,-0.3785,4.72649,2.79379,2.20376,5,Psychology · Natural language processing
475,Racial/Ethnic Categories in AI and Algorithmic Fairness: Why They Matter and What They Represent,https://doi.org/10.1145/3630106.3659050,General Fairness & Bias Mitigation,2024,Jennifer Mickel,USA,"Racial diversity has become increasingly discussed within the AI and algorithmic fairness literature, yet little attention is focused on justifying the choices of racial categories and understanding how people are racialized into these chosen racial categories. Even less attention is given to how racial categories shift and how the racialization process changes depending on the context of a dataset or model. An unclear understanding of who comprises the racial categories chosen and how people are racialized into these categories can lead to varying interpretations of these categories. These varying interpretations can lead to harm when the understanding of racial categories and the racialization process is misaligned from the actual racialization process and racial categories used. Harm can also arise if the racialization process and racial categories used are irrelevant or do not exist in the context they are applied.",Racialization; Harm; Racial formation theory; Context (archaeology); Process (computing); Racism; Ethnic group; Diversity (politics); Sociology; Social psychology; Psychology; Criminology; Computer science; Race (biology); Gender studies; Geography; Anthropology,3,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3659050,USA,Jennifer Mickel,6.70774,4.19852,6.70774,4.19852,6.09745,9.8951,6.65651,8.93686,2.29667,4.04698,1.74651,2.29667,4.04698,1.74651,6.41764,8.98034,-0.08245,6.40395,7.5753,4.92409,4,Psychology · Mathematics
476,Misgendered During Moderation: How Transgender Bodies Make Visible Cisnormative Content Moderation Policies and Enforcement in a Meta Oversight Board Case,https://doi.org/10.1145/3630106.3658907,General Fairness & Bias Mitigation,2024,Samuel Mayworm; Kendra Albert; Oliver L. Haimson,USA; USA; USA,"Transgender and nonbinary social media users experience disproportionate content removals on social media platforms, even when content does not violate platforms’ guidelines. In 2022, the Oversight Board, which oversees Meta platforms’ content moderation decisions, invited public feedback on Instagram’s removal of two trans users’ posts featuring their bare chests, introducing a unique opportunity to hear trans users’ feedback on how nudity and sexual activity policies impacted them. We conducted a qualitative analysis of 83 comments made public during the Oversight Board’s public comment process. Commenters criticized Meta’s nudity policies as enforcing a cisnormative view of gender while making it unclear how images of trans users’ bodies are moderated, enabling the disproportionate removal of trans content and limiting trans users’ ability to use Meta’s platforms. Yet there was significant divergence among commenters about how to address cisnormative moderation. Some commenters suggested that Meta clarify nudity guidelines, while others suggested that Meta overhaul them entirely, removing gendered distinctions or fundamentally reconfiguring the platform’s relationship to sexual content. We then discuss how the Oversight Board’s public comment process demonstrates the value of incorporating trans people’s feedback while developing policies related to gender and nudity, while arguing that Meta must go beyond only revising policy language by reevaluating how cisnormative values are encoded in all aspects of its content moderation systems.",Moderation; Transgender; Enforcement; Content analysis; Public relations; Social media; Limiting; Process (computing); Political science; Psychology; Sociology; Social psychology; Law; Computer science; Gender studies; Engineering,15,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3658907,USA; USA; USA,Samuel Mayworm; Kendra Albert; Oliver L. Haimson,4.74806,5.99899,4.74806,5.99899,9.90259,4.95323,7.92803,4.15086,3.92125,4.46345,3.05341,3.92125,4.46345,3.05341,1.24016,6.34909,3.37306,4.74655,3.32655,3.1318,4,Psychology · Mathematics
477,A preprocessing Shapley value-based approach to detect relevant and disparity prone features in machine learning,https://doi.org/10.1145/3630106.3658905,General Fairness & Bias Mitigation,2024,Guilherme Dean Pelegrina; Miguel Couceiro; Leonardo Tomazeli Duarte,Brazil; Portugal; Brazil,"Decision support systems became ubiquitous in every aspect of human lives. Their reliance on increasingly complex and opaque machine learning models raises transparency and fairness concerns with respect to unprivileged groups of people. This motivated several efforts to estimate importance of features towards the models’ performance and to detect unfair/disparate decisions. The latter is often dealt with by means of fairness metrics that rely on performance metrics with respect to predefined features that are considered protected (salient features such as age, gender, ethnicity, etc.) and/or sensitive (such as education, /occupation, banking information). However, such an approach is subjective (as fairness metrics depend on the choice features), there may be other features that lead to unfair (disparate) decisions and that may ask for suitable interpretations.",Computer science; Salient; Transparency (behavior); Preprocessor; Machine learning; Artificial intelligence; Value (mathematics); Data mining; Computer security,2,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3658905,Brazil; Portugal; Brazil,Guilherme Dean Pelegrina; Miguel Couceiro; Leonardo Tomazeli Duarte,7.16156,5.02361,7.16156,5.02361,7.59642,9.43565,7.63289,9.72508,1.91048,3.75455,2.21217,1.91048,3.75455,2.21217,5.51437,9.01994,-0.86434,7.10524,7.37762,5.5713,4,Psychology · Mathematics
478,Understanding Disparities in Post Hoc Machine Learning Explanation,https://doi.org/10.1145/3630106.3659043,General Fairness & Bias Mitigation,2024,Vishwali Mhasawade; Salman Rahman; Zoé Haskell-Craig; Rumi Chunara,USA; USA; USA; USA,"Previous work has highlighted that existing post-hoc explanation methods exhibit disparities in explanation fidelity (across “race” and “gender” as sensitive attributes), and while a large body of work focuses on mitigating these issues at the explanation metric level, the role of the data generating process and black box model in relation to explanation disparities remains largely unexplored. Accordingly, through both simulations as well as experiments on a real-world dataset, we specifically assess challenges to explanation disparities that originate from properties of the data: limited sample size, covariate shift, concept shift, omitted variable bias, and challenges based on model properties: inclusion of the sensitive attribute and appropriate functional form. Through controlled simulation analyses, our study demonstrates that increased covariate shift, concept shift, and omission of covariates increase explanation disparities, with the effect pronounced higher for neural network models that are better able to capture the underlying functional form in comparison to linear models. We also observe consistent findings regarding the effect of concept shift and omitted variable bias on explanation disparities in the Adult income dataset. Overall, results indicate that disparities in model explanations can also depend on data and model properties. Based on this systematic investigation, we provide recommendations for the design of explanation methods that mitigate undesirable disparities.",Covariate; Metric (unit); Computer science; Econometrics; Omitted-variable bias; Variable (mathematics); Fidelity; Contrast (vision); Race (biology); Post hoc; Machine learning; Relation (database); Artificial intelligence; Data mining; Mathematics,9,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3659043,USA; USA; USA; USA,Vishwali Mhasawade; Salman Rahman; Zoé Haskell-Craig; Rumi Chunara,6.01828,5.03511,6.01828,5.03511,7.88404,7.21948,7.91397,4.30517,2.32072,4.94308,2.55133,2.32072,4.94308,2.55133,4.25916,7.02453,-0.57585,4.67357,3.51245,3.12149,4,Psychology · Mathematics
479,Fairness Beyond the Algorithmic Frame: Actionable Recommendations for an Intersectional Approach,https://doi.org/10.1145/3715275.3732210,General Fairness & Bias Mitigation,2025,Steven Vethman; Quirine T. S. Smit; Nina M. van Liebergen; Cor J. Veenman,France; Netherlands; Netherlands; Netherlands,"Algorithm fairness is an established line of research in the machine learning domain with substantial work while the equivalent in the recommender system domain is relatively new. In this article, we consider rating-based recommender systems which model the recommendation process as a prediction problem. We consider different types of biases that can occur in this setting, discuss various fairness definitions, and also propose a novel bias mitigation strategy to address potential unfairness in a rating-based recommender system. Based on an analysis of fairness metrics used in machine learning and a discussion of their applicability in the recommender system domain, we map the proposed metrics from the two domains and identify commonly used concepts and definitions of fairness. Finally, to address unfairness and potential bias against certain groups in a recommender system, we develop a bias mitigation algorithm and conduct case studies on one synthetic and one empirical dataset to show its effectiveness. Our results show that unfairness can be significantly lowered through our approach and that bias mitigation is a fruitful area of research for recommender systems.",Computer science; Frame (networking); Data science; Intersectionality; Theoretical computer science; Sociology; Gender studies; Telecommunications,6,FALSE,closed,,France; Netherlands; Netherlands; Netherlands,Steven Vethman; Quirine T. S. Smit; Nina M. van Liebergen; Cor J. Veenman,12.98777,4.2665,12.98777,4.2665,11.21252,5.21784,12.08163,3.9116,-3.05897,7.88895,4.2618,-3.05897,7.88895,4.2618,1.36859,6.54611,4.2955,8.57358,0.82525,1.09027,2,Recommender system · Information retrieval
480,Discrimination Induced by Algorithmic Recourse Objectives,https://doi.org/10.1145/3715275.3732110,General Fairness & Bias Mitigation,2025,Nicholas Perello; Cyrus Cousins; Yair Zick; Przemyslaw A. Grabowicz,USA; USA; USA; Ireland,"We study fairness in algorithmic recourse, which provides users who receive undesirable outcomes from decision-making systems with explanations on how to achieve their desired results.To produce explanations that emulate real-world settings and preferences, the literature proposes various constraints, e.g., sparsity, on the objective of recourse methods.We argue that these constrained objectives can induce disparate recourse costs between protected groups, especially when groups' recourse objectives differ from the objectives of the methods providing them recourse.We formalize discrimination in algorithmic recourse with respect to legal notions and the cost of recourse.Namely, we introduce a novel notion of induced discrimination that captures the excess cost of recourse induced by having misaligned objectives between groups and methods.Using this definition, we show that recourse objectives can induce discriminatory recourse, independent from the bias of the model being explained.To inhibit discrimination, we extend prior work on welfare-based group-fair supervised learning to measure group welfare under multiple recourse objectives.We then propose a recourse method that maximizes group welfare and empirically show its robust performance over multiple recourse objectives.",Computer science,0,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3715275.3732110,USA; USA; USA; Ireland,Nicholas Perello; Cyrus Cousins; Yair Zick; Przemyslaw A. Grabowicz,7.59513,4.63733,7.59513,4.63733,6.99029,9.55679,7.25707,9.15962,1.85631,4.50386,2.23212,1.85631,4.50386,2.23212,5.58331,8.56356,-0.79329,6.97511,7.48618,4.93438,4,Psychology · Mathematics
481,Auditing the Audits: Lessons for Algorithmic Accountability from Local Law 144's Bias Audits,https://doi.org/10.1145/3715275.3732004,General Fairness & Bias Mitigation,2025,Marissa Gerchick; Ro Encarnación; Cole Tanigawa-Lau; Lena Armstrong; Ana Bedoya Gutiérrez; Danaë Metaxa,USA; USA; USA; USA; USA; USA,"In this work, we ""audit the audits,"" analyzing the documents produced pursuant to one of the United States' first enacted laws regulating the use of artificial intelligence in employment: New York City's Local Law 144.This law requires employers and employment agencies using certain types of automated tools to publish ""bias audits"" with statistics about how different sex and racial groups fare in the hiring process when the tools are used.We collect and conduct a comprehensive analysis of all Local Law 144 bias audits (N=116) made publicly available to our knowledge from the law taking effect in July 2023 until early November 2024, and describe the extensive challenges we faced in identifying, archiving, extracting information from, and ultimately analyzing these bias audits.We identify several ways that bias audits produced in accordance with Local Law 144 are incomplete evaluations of algorithmic bias, despite news coverage and characterizations by employers and vendors suggesting otherwise.We show that Local Law 144 bias audits are significantly hampered by several issues, including missing demographic data, opaque data aggregation, problematic uses of ""test data, "" and reliance on metrics that do not represent how automated hiring tools are used in practice.We analyze the reported results in Local Law 144 bias audits alongside the four-fifths rule often used as a measure for assessing adverse impact in employment contexts.Most audits do not report results that would not suggest violations of the four-fifths rule.Crucially, however, we show that these tools could often be in violation of the four-fifths rule when considering potential impacts of missing demographic data.We offer ten practical recommendations to strengthen future legislative efforts that mandate algorithm auditing in hiring and other areas, and contribute an open dataset and codebase for extracting and combining bias audit results to support future auditing efforts.",Audit; Accountability; Accounting; Operational auditing; Computer science; Generally Accepted Auditing Standards; Business; Internal audit; Law; Political science; Joint audit; Accounting information system; Financial accounting,2,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3715275.3732004,USA; USA; USA; USA; USA; USA,Marissa Gerchick; Ro Encarnación; Cole Tanigawa-Lau; Lena Armstrong; Ana Bedoya Gutiérrez; Danaë Metaxa,5.41444,4.17546,5.41444,4.17546,5.37144,9.40608,5.98315,9.09235,3.47792,4.68338,1.83172,3.47792,4.68338,1.83172,6.85467,8.51532,0.20469,5.58964,7.62321,5.69241,4,Psychology · Mathematics
482,"WEIRD Audits? Research Trends, Linguistic and Geographical Disparities in the Algorithm Audits of Online Platforms - A Systematic Literature Review",https://doi.org/10.1145/3715275.3732026,General Fairness & Bias Mitigation,2025,Aleksandra Urman; Mykola Makhortykh; Anikó Hannák,Switzerland; Switzerland; Switzerland,"The increasing reliance on complex algorithmic systems by online platforms has sparked a growing need for algorithm auditing, a methodology evaluating these systems' functionality and impact.In this paper, we systematically review 176 peer-reviewed online platform-focused algorithm auditing studies and identify trends in their methodological approaches, the geographic distribution of authors, and the selection of platforms, languages, geographies, and group-based attributes in the focus of the reviewed research.We find a significant skew of research focus towards few online platforms, Western contexts, particularly the US, and English language data.Additionally, our analysis indicates a tendency to focus on a narrow set of group-based attributes, often operationalized in simplified ways, which might obscure more nuanced aspects of algorithmic bias and discrimination.We provide a clearer understanding of the current state of the online platform-focused algorithm auditing and identify gaps to be addressed for a more inclusive and representative research landscape.",Audit; Computer science; Data science; Accounting; Algorithm; Business,2,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3715275.3732026,Switzerland; Switzerland; Switzerland,Aleksandra Urman; Mykola Makhortykh; Anikó Hannák,4.91633,4.37511,4.91633,4.37511,5.74292,9.61185,8.70996,3.72967,3.59306,5.21186,2.27364,3.59306,5.21186,2.27364,6.77203,8.61034,0.1179,5.08082,3.07406,2.29246,4,Psychology · Mathematics
483,Epistemic Injustice in Algorithmic Systems and the Limits of Civil Rights Law,https://doi.org/10.1145/3715275.3732213,General Fairness & Bias Mitigation,2025,Alexandra Wood; Elizabeth Edenberg,USA; USA,"Mathematical definitions of algorithmic fairness have become central to efforts to address potential discriminatory effects from machine learning and artificial intelligence applications.These quantitative measures carry significant weight, derived in large part from their purported grounding in legal conceptions of nondiscrimination, and they are increasingly deployed in a wide range of highly consequential settings.This paper critically examines how these mathematical constructs diverge from their legal foundations, with a focus on the anticlassification and antisubordination principles underpinning US civil rights law.It argues that applying an epistemic lens on algorithmic fairness previously introduced in the literature provides an opportunity for better aligning technical definitions of fairness with legal notions of nondiscrimination.In particular, it offers a theoretical foundation for affirming the antisubordination principle and thereby extending the protections of antidiscrimination law to classes of algorithmic harm that have yet to be formally recognized.",Injustice; Political science; Law; Civil rights; Law and economics; Computer science; Sociology; Epistemology; Philosophy,0,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3715275.3732213,USA; USA,Alexandra Wood; Elizabeth Edenberg,5.545,4.2315,5.545,4.2315,5.981,9.78935,7.2687,9.23602,3.44616,4.76852,1.8842,3.44616,4.76852,1.8842,6.62855,8.85956,-0.11099,6.5481,7.42863,5.03815,4,Psychology · Mathematics
484,It's only fair when I think it's fair: How Gender Bias Alignment Undermines Distributive Fairness in Human-AI Collaboration,https://doi.org/10.1145/3715275.3732084,LLMs & NLP,2025,Domenique Zipperling; Luca Deck; Julia Lanzl; Niklas Kühl,Germany; Germany; Germany; Germany,"Human-AI collaboration is increasingly relevant in consequential areas where AI recommendations support human discretion. However, human-AI teams’ effectiveness, capability, and fairness highly depend on human perceptions of AI. Positive fairness perceptions have been shown to foster trust and acceptance of AI recommendations. Yet, work on confirmation bias highlights that humans selectively adhere to AI recommendations that align with their expectations and beliefs—despite not being necessarily correct or fair. This raises the question whether confirmation bias also transfers to the alignment of gender bias between human and AI decisions. In our study, we examine how gender bias alignment influences fairness perceptions and reliance. The results of a 2x2 between-subject study highlight the connection between gender bias alignment, fairness perceptions, and reliance, demonstrating that merely constructing a “formally fair” AI system is insufficient for optimal human-AI collaboration; ultimately, AI recommendations will likely be overridden if biases do not align.1261",Distributive property; Computer science; Distributive justice; Political science; Social psychology; Psychology; Law; Mathematics; Economic Justice,4,TRUE,gold,https://doi.org/10.1145/3715275.3732084,Germany; Germany; Germany; Germany,Domenique Zipperling; Luca Deck; Julia Lanzl; Niklas Kühl,4.82233,5.35026,4.82233,5.35026,5.81503,8.73826,6.70693,6.0306,3.41621,4.7646,3.08078,3.41621,4.7646,3.08078,6.61616,7.84463,-0.33042,5.02234,5.79514,3.17717,4,Psychology · Mathematics
485,Expressing stigma and inappropriate responses prevents LLMs from safely replacing mental health providers.,https://doi.org/10.1145/3715275.3732039,General Fairness & Bias Mitigation,2025,Jared Moore; Declan Grabb; William Agnew; Kevin Klyman; Stevie Chancellor; Desmond C. Ong; Nick Haber,USA; USA; USA; USA; USA; USA,"Should a large language model (LLM) be used as a therapist? In this paper, we investigate the use of LLMs to *replace* mental health providers, a use case promoted in the tech startup and research space. We conduct a mapping review of therapy guides used by major medical institutions to identify crucial aspects of therapeutic relationships, such as the importance of a therapeutic alliance between therapist and client. We then assess the ability of LLMs to reproduce and adhere to these aspects of therapeutic relationships by conducting several experiments investigating the responses of current LLMs, such as `gpt-4o`. Contrary to best practices in the medical community, LLMs 1) express stigma toward those with mental health conditions and 2) respond inappropriately to certain common (and critical) conditions in naturalistic therapy settings -- e.g., LLMs encourage clients' delusional thinking, likely due to their sycophancy. This occurs even with larger and newer LLMs, indicating that current safety practices may not address these gaps. Furthermore, we note foundational and practical barriers to the adoption of LLMs as therapists, such as that a therapeutic alliance requires human characteristics (e.g., identity and stakes). For these reasons, we conclude that LLMs should not replace therapists, and we discuss alternative roles for LLMs in clinical therapy.",Stigma (botany); Mental health; Psychology; Psychiatry; Internet privacy; Computer science,105,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3715275.3732039,USA; USA; ; USA; USA; USA; USA,Jared Moore; Declan Grabb; William Agnew; Kevin Klyman; Stevie Chancellor; Desmond C. Ong; Nick Haber,1.7116,7.52269,1.7116,7.52269,4.09984,6.10847,6.00077,3.47876,6.29736,6.24205,4.63601,6.29736,6.24205,4.63601,6.38264,5.93431,1.91825,3.31041,4.15846,2.56026,3,Health care · Psychology
486,Disambiguating Algorithmic Bias: From Neutrality to Justice,https://doi.org/10.1145/3600211.3604695,General Fairness & Bias Mitigation,2023,Elizabeth Edenberg; Alexandra Wood,USA,"As algorithms have become ubiquitous in consequential domains, societal concerns about the potential for discriminatory outcomes have prompted urgent calls to address algorithmic bias. In response, a rich literature across computer science, law, and ethics is rapidly proliferating to advance approaches to designing fair algorithms. Yet computer scientists, legal scholars, and ethicists are often not speaking the same language when using the term ‘bias.’ Debates concerning whether society can or should tackle the problem of algorithmic bias are hampered by conflations of various understandings of bias, ranging from neutral deviations from a standard to morally problematic instances of injustice due to prejudice, discrimination, and disparate treatment. This terminological confusion impedes efforts to address clear cases of discrimination.",Neutrality; Injustice; Prejudice (legal term); Implicit bias; Economic Justice; Computer science; Confusion; Disparate impact; Data science; Political science; Law; Psychology; Social psychology,26,TRUE,gold,https://doi.org/10.1145/3600211.3604695,USA;,Elizabeth Edenberg; Alexandra Wood,5.59999,4.27336,5.59999,4.27336,5.79813,9.55168,6.7189,8.87479,3.42544,4.82186,2.00588,3.42544,4.82186,2.00588,6.77133,8.54911,-0.08758,6.37415,7.5629,4.87727,4,Psychology · Mathematics
487,Evaluating the Fairness of Discriminative Foundation Models in Computer Vision,https://doi.org/10.1145/3600211.3604720,General Fairness & Bias Mitigation,2023,Junaid Ali; Matthäus Kleindeßner; Florian Wenzel; Kailash Budhathoki; Volkan Cevher; Chris Russell,Germany; Germany; Germany; Germany; Germany; Germany,"We propose a novel taxonomy for bias evaluation of discriminative foundation models, such as Contrastive Language-Pretraining (CLIP), that are used for labeling tasks. We then systematically evaluate existing methods for mitigating bias in these models with respect to our taxonomy. Specifically, we evaluate OpenAI’s CLIP and OpenCLIP models for key applications, such as zero-shot classification, image retrieval and image captioning. We categorize desired behaviors based around three axes: (i) if the task concerns humans; (ii) how subjective the task is (i.e., how likely it is that people from a diverse range of backgrounds would agree on a labeling); and (iii) the intended purpose of the task and if fairness is better served by impartiality (i.e., making decisions independent of the protected attributes) or representation (i.e., making decisions to maximize diversity). Finally, we provide quantitative fairness evaluations for both binary-valued and multi-valued protected attributes over ten diverse datasets. We find that fair PCA, a post-processing method for fair representations, works very well for debiasing in most of the aforementioned tasks while incurring only minor loss of performance. However, different debiasing approaches vary in their effectiveness depending on the task. Hence, one should choose the debiasing approach depending on the specific use case.",Debiasing; Computer science; Discriminative model; Task (project management); Taxonomy (biology); Artificial intelligence; Categorization; Machine learning; Natural language processing; Information retrieval; Social psychology; Psychology,5,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3600211.3604720,Germany; Germany; Germany; Germany; Germany; Germany,Junaid Ali; Matthäus Kleindeßner; Florian Wenzel; Kailash Budhathoki; Volkan Cevher; Chris Russell,5.95259,8.7094,5.95259,8.7094,7.2435,7.05835,8.67372,4.24736,2.89802,2.62336,5.96587,2.89802,2.62336,5.96587,4.7197,7.36511,-0.9262,5.32861,3.46899,2.57723,5,Psychology · Natural language processing
488,Stress-Testing Bias Mitigation Algorithms to Understand Fairness Vulnerabilities,https://doi.org/10.1145/3600211.3604713,General Fairness & Bias Mitigation,2023,Karan Bhanot; Ioana Baldini; Dennis Wei; Jiaming Zeng; Kristin P. Bennett,USA; USA; USA,"To address the growing concern of unfairness in Artificial Intelligence (AI), several bias mitigation algorithms have been introduced in prior research. Their capabilities are often evaluated on certain overly-used datasets without rigorously stress-testing them under simultaneous train and test distribution shifts. To address this, we investigate the fairness vulnerabilities of these algorithms across several distribution shift scenarios using synthetic data, to highlight scenarios where these algorithms do and don’t work to encourage their trustworthy use. The paper makes three important contributions. Firstly, we propose a flexible pipeline called the Fairness Auditor to systematically stress-test bias mitigation algorithms using multiple synthetic datasets with shifts. Secondly, we introduce the Deviation Metric for measuring the fairness and utility performance of these algorithms under such shifts. Thirdly, we propose an interactive reporting tool for comparing algorithmic performance across various synthetic datasets, mitigation algorithms and metrics called the Fairness Report.",Computer science; Metric (unit); Audit; Algorithm; Fairness measure; Trustworthiness; Stress testing (software); Machine learning; Pipeline (software); Data mining; Artificial intelligence; Computer security,3,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3600211.3604713,USA; ; ; USA; USA,Karan Bhanot; Ioana Baldini; Dennis Wei; Jiaming Zeng; Kristin P. Bennett,6.60406,5.67373,6.60406,5.67373,7.10641,8.80405,8.10775,9.09624,2.27699,4.22529,3.01273,2.27699,4.22529,3.01273,5.84144,8.37658,-1.5841,6.61706,6.77347,5.57061,4,Psychology · Mathematics
